"geometry","time","cdc42_ratio","cdc42_contrast","rac_ratio","rac_contrast","rho_front_back_ratio","rho_separation","cdc42_boundary_mean","rac_boundary_mean","rho_boundary_mean","cdc42_peaks","rac_peaks","cdc42_dominance","cdc42_peak_position"
"AR 1.29 - 0.5x",100,61.7628231390025,0.968134001946175,159.34976986707,0.987527266165346,0.0370130476510524,0.362959817559384,1.52960362195608,4.35434142293864,1.33458543438985,1,1,Inf,0.66875
"AR 1.29 - 0.5x",101,62.0626617640624,0.968285512471982,160.706016689204,0.987631876407889,0.0367294539173264,0.363149506931683,1.53190296392122,4.35909689186633,1.33434130693704,1,1,Inf,0.66875
"AR 1.29 - 0.5x",102,62.3580221966429,0.968433358071174,162.049288261024,0.987733770436347,0.0364501190311339,0.363332942343474,1.53416287980991,4.36387959584606,1.33416865213751,1,1,Inf,0.66875
"AR 1.29 - 0.5x",103,62.6510197947527,0.968578665252353,163.383282272324,0.987833312655926,0.0361748251092255,0.363510290127512,1.53637795689315,4.36867506472778,1.33408442384679,1,1,Inf,0.66875
"AR 1.29 - 0.5x",104,62.9437324777604,0.968722501447728,164.712736604912,0.987930921660124,0.0359033864927746,0.363684765815004,1.5385501313224,4.37347570599813,1.33409194046636,1,1,Inf,0.68125
"AR 1.29 - 0.5x",105,63.2375039200799,0.968865539942395,166.042061878772,0.988026967713967,0.0356356764410451,0.363855980956448,1.54069088675172,4.37828492017665,1.33417204549599,1,1,Inf,0.68125
"AR 1.29 - 0.5x",106,63.5326369140633,0.969007930008139,167.374075493172,0.988121686820599,0.0353716340230757,0.364024200046756,1.54281924051411,4.38311874884891,1.33428463336409,1,1,Inf,0.68125
"AR 1.29 - 0.5x",107,63.8285323624506,0.969149386433458,168.709469253189,0.988215153763658,0.0351112553312833,0.364190255079133,1.54495562906599,4.38800225183881,1.3343836741374,1,1,Inf,0.68125
"AR 1.29 - 0.5x",108,64.1240394856306,0.969289374310983,170.047038897526,0.988307310007289,0.0348545725183411,0.364355031399835,1.54711618578823,4.39296210853682,1.33443416634306,1,1,Inf,0.68125
"AR 1.29 - 0.5x",109,64.4177982746282,0.969427280453496,171.384319646461,0.988398016686774,0.0346016248177462,0.364519131226503,1.54931092230522,4.39802029261348,1.33441773308349,1,1,Inf,0.68125
"AR 1.29 - 0.5x",110,64.7084829194696,0.969562529659205,172.7182699009,0.988487106156762,0.0343524337842279,0.364682889861309,1.55154484239697,4.40319169377611,1.33432791008205,1,1,Inf,0.68125
"AR 1.29 - 0.5x",111,64.9949446997749,0.969694648444689,174.045813048543,0.988574419660952,0.0341069926610116,0.364846516024552,1.55381948807293,4.40848472748982,1.33416422413807,1,1,Inf,0.68125
"AR 1.29 - 0.5x",112,65.2762812161802,0.969823291782525,175.364193407551,0.988659829632321,0.0338652685363345,0.365010163846106,1.55613389236534,4.41390279518441,1.33392955473635,1,1,Inf,0.68125
"AR 1.29 - 0.5x",113,65.5518599885375,0.969948247872494,176.671174783168,0.988743249981654,0.0336272094072091,0.365173929865289,1.55848518458469,4.41944550019081,1.33362960560709,1,1,Inf,0.68125
"AR 1.29 - 0.5x",114,65.821323811359,0.970069434636672,177.965136311853,0.988824639026258,0.0333927500857413,0.36533785393445,1.56086918767476,4.42510956058529,1.33327244222538,1,1,Inf,0.68125
"AR 1.29 - 0.5x",115,66.0846094942101,0.970186902553668,179.245132566371,0.988903999949826,0.0331618153993764,0.365499325833431,1.56328101704509,4.43088961028638,1.33286759304495,1,1,Inf,0.68125
"AR 1.29 - 0.5x",116,66.3420149457997,0.970300858956928,180.510996705442,0.988981383848354,0.0329343215459141,0.365658130830547,1.56571553868671,4.436778936862,1.33242525399395,1,1,Inf,0.68125
"AR 1.29 - 0.5x",117,66.5943267928978,0.970411718040661,181.763554996021,0.989056899226744,0.0327101768591306,0.365818161569248,1.56816760933906,4.44277009001823,1.33195608179007,1,1,Inf,0.68125
"AR 1.29 - 0.5x",118,66.8429378506955,0.970520144566831,183.004926756445,0.989130725816667,0.0324892838193719,0.365980331918566,1.57063216874424,4.44885531609225,1.33147139941287,1,1,Inf,0.69375
"AR 1.29 - 0.5x",119,67.0897709940165,0.970627012386695,184.238671838456,0.989203118440926,0.0322715450257134,0.366145298619319,1.57310436613021,4.45502687269259,1.33098287964769,1,1,Inf,0.69375
"AR 1.29 - 0.5x",120,67.3368777247365,0.970733225359577,185.469412451124,0.989274380319484,0.0320568721835056,0.366312953758526,1.57557982580487,4.46127732916288,1.33050099490128,1,1,Inf,0.69375
"AR 1.29 - 0.5x",121,67.5858800057274,0.970839478915588,186.701846006091,0.989344803780272,0.0318451904935286,0.366482505839066,1.57805492055984,4.46759987201862,1.33003316251207,1,1,Inf,0.69375
"AR 1.29 - 0.5x",122,67.8375970761529,0.970946109612347,187.939599394028,0.989414606538733,0.0316364346565442,0.366652922303112,1.58052685452486,4.47398851628479,1.3295831951757,1,1,Inf,0.69375
"AR 1.29 - 0.5x",123,68.0920061658278,0.971053091218689,189.18450016482,0.989483895910199,0.0314305426446518,0.366823272387309,1.582993527307,4.48043813454323,1.32915224145129,1,1,Inf,0.69375
"AR 1.29 - 0.5x",124,68.3484376028793,0.971160128920959,190.436478157139,0.989552670320448,0.0312274530066281,0.366992854219841,1.58545329124913,4.48694431725583,1.32874023242624,1,1,Inf,0.69375
